disaster_id,storm_name_clean,year,month,decade,era,region,location,intensity_category,deaths,affected,affected_millions,displaced,damage_usd,damage_billions
1994-0215-PHL,Luke (Weling),1994,9.0,1990s,Pre-2010,Luzon,"Papoay, San Nicolas, Pasuquin municipalities (locos Norte province), Cagayan province",Minor,7,54674,0.054674,0,3900000.0,0.0039
1994-0313-PHL,Oyang,1994,7.0,1990s,Pre-2010,Luzon,"Pinatubo, Luzon",Moderate,39,0,0.0,0,1700000.0,0.0017
1994-0519-PHL,Teresa (Katring),1994,10.0,1990s,Pre-2010,Luzon,"Arora, Quezon, Laguna, Batangas, Rizal, Cavite, Bulacan, Bataan, Oriental Mindoro, Occidental Mindoro provinces (Luzon)",Moderate,32,258751,0.258751,258736,67400000.0,0.0674
1994-0594-PHL,Axel (Garding),1994,12.0,1990s,Pre-2010,Mindanao,"Leyte, Cebu Isl., Surigao, Luzon, Iloilo, Bacolod",Severe,49,867923,0.867923,0,26813000.0,0.026813
1994-0756-PHL,Vanessa,1994,7.0,1990s,Pre-2010,Unspecified,Kalinga-Apayao province,Minor,3,5300,0.0053,0,0.0,0.0
1995-0187-PHL,Kent (Gening),1995,8.0,1990s,Pre-2010,Unspecified,"Regions I, II, III, IV, V, Metro Manilla",Moderate,6,195886,0.195886,0,0.0,0.0
1995-0247-PHL,Sybil (Mameng),1995,10.0,1990s,Pre-2010,Mindanao,"Pampanga, Pangasinan, Bulacan, Laguna, Marinduque, Quezon, Barangas, Cavite, Albay, Antique, Cebu, Leyte, Siquijor, Bukidnon provinces and National Capital region",Severe,184,864437,0.864437,106000,38100000.0,0.0381
1995-0271-PHL,Angela (Rosing),1995,11.0,1990s,Pre-2010,Visayas,"Luzon, Visayas, Calauag",Catastrophic,882,1599588,1.599588,0,244000000.0,0.244
1995-0272-PHL,Zack (Pepang),1995,10.0,1990s,Pre-2010,Visayas,"Leyte, Samar, Central Visayas, Panays Islands, Palawan",Severe,146,348053,0.348053,0,30000000.0,0.03
1995-0486-PHL,Karing,1995,7.0,1990s,Pre-2010,Luzon,"Pampanga, Zambales, Tarlac (Luzon province)",Minor,0,20000,0.02,0,5000000.0,0.005
1996-0108-PHL,Gloria,1996,7.0,1990s,Pre-2010,Luzon,"Quzeon, Aurora, Quirino, Nueva Vizcaya, Isabela, Cagayan, Batanes, La Union, Ilocos Norte, Ilocos Sur (Luzon Isl.)",Moderate,26,36828,0.036828,0,38000000.0,0.038
1997-0180-PHL,Winnie,1997,8.0,1990s,Pre-2010,Unspecified,All country,Minor,18,53659,0.053659,0,5000000.0,0.005
1997-0203-PHL,Bining,1997,5.0,1990s,Pre-2010,Luzon,"Manilla, Luzon",Moderate,30,309111,0.309111,0,2500000.0,0.0025
1997-0252-PHL,Ivan,1997,10.0,1990s,Pre-2010,Luzon,Cagayan Prov.,Minor,1,4000,0.004,0,0.0,0.0
