sid,storm_name,year,month,latitude,longitude,lat_min,lat_max,max_wind_kt,max_wind_kmh,category,era,decade,reached_mindanao,opacity,color,size
1985284N05159,DOT,1985,10,14.997142857142856,124.89428571428572,13.8,17.0,150.0,277.8,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1985286N05162,ELLIS,1985,10,13.0875,133.65,12.3,14.0,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1985294N10122,FAYE,1985,10,17.38125,123.40625,10.1,25.0,98.0,181.496,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1985347N07155,HOPE,1985,12,16.320408163265306,129.3387755102041,13.6,19.2,100.0,185.20000000000002,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1985347N09114,IRVING,1985,12,7.62,115.28,7.5,7.9,48.0,88.896,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1986029N04152,JUDY,1986,2,12.97777777777778,132.44444444444446,8.8,17.6,78.0,144.45600000000002,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1986094N06138,UNNAMED,1986,4,10.239999999999998,128.94,6.8,12.7,29.0,53.708000000000006,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1986112N02152,KEN,1986,5,10.44,134.20666666666665,9.7,11.5,25.0,46.300000000000004,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1986136N18114,MAC,1986,5,21.817647058823532,121.57254901960783,19.6,25.0,45.0,83.34,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1986169N07152,NANCY,1986,6,16.9,126.7576923076923,10.0,24.5,78.0,144.45600000000002,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1986172N04161,OWEN,1986,6,18.4741935483871,129.458064516129,15.4,25.0,50.0,92.60000000000001,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1986179N11175,PEGGY,1986,7,18.447619047619046,123.5547619047619,15.7,22.9,138.0,255.57600000000002,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1986190N11162,ROGER,1986,7,23.018181818181816,132.1727272727273,21.0,24.9,83.0,153.716,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1986206N23127,UNNAMED,1986,7,23.922222222222224,125.6888888888889,23.0,25.0,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1986209N13139,SARAH,1986,7,17.6725,127.50999999999999,13.8,24.5,55.0,101.86,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1986225N17134,VERA,1986,8,18.76829268292683,131.0121951219512,17.0,24.8,90.0,166.68,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1986228N19120,WAYNE,1986,8,20.12773722627737,119.76934306569345,14.9,25.0,88.0,162.976,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1986229N18130,UNNAMED,1986,8,18.0,128.75555555555556,17.8,18.4,40.0,74.08,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1986252N06153,ABBY,1986,9,20.352631578947367,126.92894736842106,16.3,24.7,93.0,172.23600000000002,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1986275N10134,DOM,1986,10,13.636842105263158,122.68070175438596,9.9,15.4,40.0,74.08,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1986276N07177,ELLEN,1986,10,15.193103448275863,120.6103448275862,9.3,20.1,80.0,148.16,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1986287N09141,GEORGIA,1986,10,11.483720930232558,126.56976744186046,9.4,14.0,53.0,98.156,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1986302N05178,HERBERT,1986,11,12.890243902439025,123.55853658536584,11.3,14.3,60.0,111.12,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1986309N07162,IDA,1986,11,12.898113207547171,122.27924528301887,5.6,19.8,50.0,92.60000000000001,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1986316N06146,JOE,1986,11,17.904225352112675,126.7788732394366,8.8,24.6,100.0,185.20000000000002,Cat 3,Pre-2010,1980s,True,0.3,Gray,5.0
1986330N05173,KIM,1986,12,17.827450980392157,130.9313725490196,16.0,24.5,98.0,181.496,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1986334N06113,UNNAMED,1986,11,8.7,115.61111111111111,7.5,9.6,19.0,35.188,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1986343N05176,MARGE,1986,12,10.738235294117647,123.90882352941175,9.2,12.4,93.0,172.23600000000002,Cat 2,Pre-2010,1980s,True,0.3,Gray,4.0
1986353N03178,NORRIS,1986,12,12.381818181818183,122.89999999999999,9.8,18.5,80.0,148.16,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1987007N06162,ORCHID,1987,1,10.042857142857143,131.84761904761905,5.5,11.8,75.0,138.9,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1987093N05155,PERCY,1987,4,13.929166666666667,129.9,13.1,14.2,25.0,46.300000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1987168N17118,RUTH,1987,6,18.275000000000002,116.58333333333333,17.2,19.0,30.0,55.56,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1987168N22122,UNNAMED,1987,6,23.666666666666668,122.25,22.0,25.0,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1987176N10150,SPERRY,1987,6,19.466666666666665,132.9611111111111,15.2,24.9,75.0,138.9,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1987188N10151,THELMA,1987,7,19.3,128.18333333333334,17.6,24.8,128.0,237.056,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
